route,total_flights,on_time_pct,avg_delay,total_delay_minutes
MCO → DAL,5325,72.24,17.61,91850.0
ATL → RSW,6228,77.51,15.01,91825.0
PHX → AUS,6807,78.83,13.56,91675.0
ATL → CLE,6348,78.68,14.59,91568.0
CLT → ROA,5250,76.53,17.77,91446.0
IAH → SAT,5806,77.8,16.09,91417.0
ONT → LAS,5341,78.02,17.19,90992.0
CLT → PHX,5969,76.67,15.35,90909.0
DEN → MKE,5106,73.93,17.96,90875.0
SMF → SEA,9201,81.7,9.94,90868.0
OAK → SAN,6699,76.28,13.77,90852.0
FLL → IAH,5352,77.54,17.25,90789.0
SJC → LAX,11440,86.85,7.96,90780.0
DAL → MCO,5305,73.46,17.46,90765.0
DEN → MDW,5881,74.79,15.71,90676.0
ATL → MSP,7248,80.85,12.58,90641.0
ATL → BNA,7783,81.74,11.71,90122.0
JFK → SEA,5821,76.11,15.74,89886.0
AUS → IAH,5738,78.56,15.97,89846.0
MYR → CLT,5190,81.08,17.62,89599.0
DEN → RAP,5129,77.01,17.76,89440.0
SEA → ATL,6791,80.38,13.32,89339.0
LAX → MCO,6121,79.7,14.73,89040.0
BZN → DEN,5550,78.26,16.24,88970.0
MCO → AUS,5328,74.75,16.83,88740.0
DEN → DTW,5993,77.55,14.91,88713.0
DEN → ONT,5723,74.55,15.6,88704.0
SJC → SEA,9153,83.52,9.8,88668.0
BWI → ORD,5302,79.65,16.96,88430.0
MSY → IAH,6400,83.47,14.15,88416.0
LAS → SNA,8146,81.53,10.94,88392.0
MCO → MDW,5723,75.47,15.78,88298.0
MDW → DEN,5931,78.16,15.08,87988.0
AUS → MCO,5333,76.51,16.72,87929.0
LAX → SJC,11439,87.13,7.71,87891.0
DEN → SJC,6070,77.09,14.55,87865.0
CLT → TYS,5405,76.36,16.48,87822.0
JFK → PHX,5417,80.07,16.42,87587.0
SFO → ATL,6428,81.14,13.75,87397.0
IAH → DTW,5704,81.16,15.51,87295.0
DFW → MAF,6076,77.92,14.7,87234.0
DEN → SAT,6206,76.98,14.18,87157.0
LGA → IND,5656,80.28,15.82,87129.0
SAN → OAK,6766,76.32,13.04,87033.0
BNA → MCO,6184,79.39,14.31,87028.0
DEN → ABQ,5966,76.68,14.66,86833.0
DEN → BOI,5809,75.75,15.06,86761.0
PDX → LAS,7355,81.5,11.92,86629.0
AUS → BNA,6082,79.04,14.32,86424.0
HNL → SEA,5908,78.41,14.82,86331.0
OKC → IAH,5084,81.43,17.32,86185.0
BOS → DTW,5556,78.92,15.67,85989.0
ATL → ORF,5351,75.25,16.28,85913.0
TPA → BWI,6047,80.17,14.52,85868.0
MDW → MSP,5554,78.21,15.58,85850.0
DCA → PVD,5087,77.61,17.33,85515.0
SFO → BUR,6434,79.33,13.46,85451.0
DTW → IAH,5704,78.98,15.18,85283.0
SEA → BOS,5071,74.31,16.96,85085.0
DFW → SNA,5728,77.63,15.27,85044.0
SMF → DEN,7915,83.32,10.86,84996.0
PHL → LAX,5103,77.3,16.8,84841.0
ORD → BWI,5280,76.6,16.27,84409.0
IAD → SFO,5629,79.0,15.13,84221.0
SNA → DEN,7324,82.95,11.57,84025.0
PHX → SMF,7379,81.07,11.4,83862.0
SNA → SEA,7912,84.26,10.73,83731.0
ABQ → PHX,6635,82.78,12.67,83690.0
JFK → DCA,5041,76.69,17.31,83474.0
FLL → DTW,5187,78.38,16.25,83393.0
DAL → PHX,6065,77.73,13.97,83209.0
LAX → PDX,9115,86.38,9.21,83124.0
MDW → MCO,5687,77.79,14.9,82835.0
CAE → CLT,5640,81.55,14.9,82788.0
SLC → LAX,8595,84.98,9.66,82695.0
LGA → CMH,6332,82.51,13.35,82558.0
DEN → BWI,6213,76.6,13.47,82523.0
LAX → PHL,5103,79.59,16.32,82283.0
CLT → GSO,5958,81.34,13.92,81687.0
DEN → IND,5228,75.4,15.7,81468.0
ATL → SAT,6083,78.32,13.52,81355.0
SAT → DEN,6151,82.58,13.33,81298.0
DTW → DEN,5993,79.13,13.67,81092.0
DTW → FLL,5175,77.13,15.87,81089.0
DTW → LAS,6289,79.87,12.96,81069.0
TUS → PHX,6593,84.98,12.34,80999.0
DEN → TUS,5461,76.71,14.93,80978.0
ATL → SEA,6788,80.34,12.06,80936.0
SAT → IAH,5804,82.79,14.28,80884.0
ORD → RSW,5622,80.2,14.58,80376.0
LAS → DTW,6291,82.76,12.85,80248.0
ORF → ATL,5350,81.72,15.22,80220.0
PHX → MSP,6662,83.72,12.06,79790.0
ATL → MCI,6575,80.38,12.28,79755.0
BNA → ATL,7799,85.66,10.33,79691.0
CHA → ATL,5282,83.69,15.21,79465.0
BUR → PHX,6332,85.23,12.68,79408.0
CMH → LGA,6335,82.05,12.89,79331.0
LAX → TUS,5136,80.56,15.49,79285.0
DEN → HOU,5105,74.3,15.7,78838.0
LAS → DAL,5881,76.12,13.62,78747.0
ATL → RIC,5833,78.49,13.64,78691.0
ONT → DEN,5702,81.62,13.92,78594.0
DEN → SNA,7326,79.82,10.83,78548.0
PHX → ONT,6472,80.16,12.18,78411.0
PDX → LAX,9110,88.21,8.69,78344.0
DEN → RNO,5117,75.28,15.42,78031.0
MSP → CLT,5088,79.88,15.51,78016.0
ATL → STL,7047,81.75,11.17,77837.0
PHX → SAT,5253,79.08,14.87,77589.0
BNA → AUS,6092,80.3,12.82,77498.0
EWR → PIT,5162,80.66,15.7,77437.0
DFW → SGF,6121,78.83,12.95,77409.0
DAL → LAS,5868,78.22,13.35,77332.0
ONT → PHX,6480,84.57,11.99,77245.0
ATL → HOU,6264,80.54,12.48,77172.0
RSW → ATL,6225,85.83,12.6,77076.0
MDW → PHX,5957,77.74,13.08,76832.0
ATL → MEM,6702,82.3,11.59,76710.0
SEA → SLC,8136,83.29,9.49,76589.0
ATL → CMH,6359,80.86,12.1,76293.0
CLE → ATL,6349,84.44,12.15,76064.0
DEN → BZN,5547,78.37,13.81,75987.0
ATL → IND,6575,81.95,11.66,75981.0
HNL → ITO,12768,88.46,5.97,75626.0
PHX → ABQ,6627,81.98,11.38,75139.0
IND → ATL,6587,85.95,11.53,75106.0
SAT → ATL,6117,84.08,12.42,74950.0
STL → ATL,7102,85.22,10.66,74803.0
BOS → SEA,5072,76.41,14.91,74777.0
PHX → BUR,6322,80.64,11.89,74232.0
LAX → CLT,5496,84.03,13.64,74142.0
TYS → ATL,5485,86.4,13.67,73943.0
ITO → HNL,12765,88.93,5.83,73852.0
DCA → JFK,5009,79.03,15.37,73830.0
MDW → LAS,5726,78.64,13.07,73820.0
BOI → DEN,5799,82.67,12.83,73664.0
ATL → TYS,5485,81.09,13.57,73407.0
MCI → PHX,5089,81.63,14.41,72630.0
PIT → EWR,5170,82.63,14.46,71952.0
CLT → MSP,5090,79.49,14.26,71828.0
CLT → CAE,5643,82.95,12.88,71499.0
ATL → CVG,5783,82.15,12.51,71488.0
SAT → PHX,5267,83.47,13.49,70617.0
PHX → SJC,6385,81.71,11.05,70342.0
SEA → SNA,7917,84.79,8.98,70296.0
TUS → DEN,5459,82.52,12.98,70221.0
CMH → ATL,6357,85.8,11.15,70166.0
PHX → DAL,6072,80.05,11.78,70004.0
SEA → OAK,5435,75.68,12.92,69696.0
RDM → SEA,5575,81.21,12.69,69605.0
ABQ → DEN,5966,82.64,11.8,69595.0
SFO → IAD,5633,81.93,12.48,69533.0
LAS → MDW,5739,79.0,12.28,69484.0
ATL → CHA,5283,81.63,13.18,68878.0
SJC → PHX,6408,85.21,10.79,68837.0
LAS → ONT,5309,78.68,13.03,68700.0
HOU → DEN,5114,79.32,13.61,68488.0
ATL → BHM,6053,83.05,11.42,68189.0
MCI → ATL,6549,87.17,10.53,68144.0
IND → DEN,5204,79.67,13.14,67621.0
PHX → MDW,5932,79.62,11.5,67296.0
LAX → SLC,8594,88.69,7.86,67258.0
ATL → SLC,5928,82.43,11.41,67238.0
IND → LGA,5667,84.04,12.16,67102.0
MEM → ATL,6701,87.78,10.13,66996.0
MKE → DEN,5134,81.77,13.12,66699.0
ATL → CHS,5937,81.88,11.3,66254.0
SLC → SAN,5389,80.78,12.37,66161.0
SJC → DEN,6055,83.39,11.0,66092.0
CLT → CHO,5084,84.66,13.15,65904.0
SFO → IAH,6598,84.56,10.11,65614.0
DTW → LAX,5463,81.94,12.1,65520.0
SAN → SLC,5384,82.71,12.17,65208.0
ATL → SAV,5726,81.15,11.55,65190.0
CHO → CLT,5084,86.54,12.96,65096.0
RNO → DEN,5112,83.69,12.79,64667.0
IAD → LAX,5053,81.86,12.93,64578.0
DAL → SAT,5504,80.79,11.83,64286.0
PHX → TUS,6598,85.84,9.77,64121.0
TUS → LAX,5135,84.21,12.48,63837.0
CVG → ATL,5783,86.08,11.17,63837.0
ATL → PIT,5657,82.51,11.4,63685.0
PHX → MCI,5080,79.84,12.66,63522.0
SLC → ATL,5939,84.68,10.77,63450.0
ELP → PHX,5266,84.07,12.13,63428.0
BHM → ATL,6052,88.28,10.54,62961.0
RIC → ATL,5833,85.96,10.91,62942.0
ATL → JAN,5474,83.02,11.59,62680.0
OAK → SEA,5434,77.75,11.59,62536.0
PHX → ELP,5292,82.23,11.81,62160.0
MSP → MDW,5589,82.32,11.25,62079.0
ATL → PNS,5322,81.93,11.78,61791.0
JAN → ATL,5475,86.31,11.41,61684.0
ATL → SDF,5667,83.03,10.9,60991.0
LAX → DTW,5464,84.22,11.26,60859.0
ATL → GSP,5953,83.55,10.3,60716.0
SAT → DAL,5498,82.93,11.08,59983.0
SDF → ATL,5667,88.24,10.72,59982.0
CHS → ATL,5934,87.12,10.22,59861.0
RNO → LAX,5897,85.99,10.11,59151.0
ATL → HSV,5153,83.42,11.53,58623.0
PHX → CLT,5976,85.88,9.65,57286.0
SAV → ATL,5724,86.49,10.09,56974.0
OAK → BUR,6311,84.89,8.93,55462.0
HSV → ATL,5152,87.34,10.85,55209.0
ATL → GSO,5242,83.18,10.65,55136.0
LAX → RNO,5901,86.01,9.22,53849.0
BUR → OAK,6305,86.65,8.55,53065.0
SEA → RDM,5578,82.6,9.68,53001.0
SEA → PSC,5465,81.91,9.75,52814.0
MSP → SEA,5444,84.15,9.66,52158.0
GSP → ATL,5953,89.49,8.75,51528.0
SMF → BUR,5539,84.17,9.47,51464.0
EUG → SEA,5063,84.36,10.25,51269.0
LAS → MSP,5153,85.03,9.97,50897.0
MSP → LAS,5142,83.03,9.94,50703.0
GSO → ATL,5241,89.0,9.68,50102.0
SEA → ONT,5211,82.19,9.73,49992.0
OAK → LAX,5638,84.43,8.91,49786.0
PDX → SJC,5842,85.59,8.56,49693.0
ONT → SEA,5209,85.81,9.61,49367.0
PNS → ATL,5320,89.97,9.35,49054.0
PIT → ATL,5656,88.03,8.79,48995.0
PSC → SEA,5463,86.15,9.04,48945.0
SJC → PDX,5830,87.09,8.33,48261.0
LAX → OAK,5599,84.64,8.65,48042.0
SEA → MSP,5441,84.84,8.87,47923.0
SEA → EUG,5066,82.55,9.55,47846.0
SMF → PDX,5032,84.82,8.88,44395.0
BUR → SMF,5520,86.35,8.0,43519.0
LAX → IAD,5058,85.86,8.58,42902.0
PDX → SMF,5031,85.24,8.58,42900.0
FAI → ANC,5351,87.4,7.88,41287.0
ANC → FAI,5352,86.79,7.85,41263.0
SNA → OAK,5225,86.28,7.71,39903.0
SNA → SJC,5337,87.26,6.84,36200.0
SJC → SNA,5355,87.47,6.43,34043.0
OAK → SNA,5230,87.22,6.51,33763.0
